column_one,column_two
FMC_D5,U3D9
FMC_D5,RN502
$6N10336,C2672
$6N10336,G23
CONN-IO-4,C2171
CONN-IO-4,R2091
CONN-IO-4,R2502
CONN-IO-4,D211
CONN-IO-4,R1842
FMC_D12,U3C1
FMC_D12,RN513
RF-Tx-CLK,U1719
RF-Tx-CLK,R2531
RF-Tx-CLK,TP901
RF-Tx-CLK,C2981
FMC_A2,U3J8
FMC_A2,RN523
$5N2622,U141
$5N2622,C712
FMC_D6,U3D8
FMC_D6,RN504
$12N887,Q93
$12N887,Q73
$12N887,R231
$6N1915,U1768
$6N1915,R1091
$6N1915,TP331
RF-TxRx-D3,TP1091
RF-TxRx-D3,RN27
RF-TxRx-D3,U1C13
$1N3301,R2542
$1N3301,U1B4
$6N8490,R101
$6N8490,U1769
$6N8490,TP341
FMC_D7,U3E9
FMC_D7,TP1241
FMC_D7,RN503
RF-TxRx-D2,RN92
RF-TxRx-D2,U1C14
RF-TxRx-D2,TP1081
$6N2504,TP411
$6N2504,C1212
$6N2504,R1281
FMC_D9,U3D2
FMC_D9,RN514
FMC_SDNWE,U3F9
FMC_SDNWE,RN547
$1N3156,U1R4
$1N3156,R2532
FMC_A6,U3H3
FMC_A6,RN527
$6N4380,U1728
$6N4380,RN914
FMC_SDNE1,U3G9
FMC_SDNE1,RN546
RF-TX-IQ-Sel,TP91
RF-TX-IQ-Sel,U1720
RF-TX-IQ-Sel,R2541
RF-TxRx-SPI-MOSI,R102
RF-TxRx-SPI-MOSI,R431
RF-TxRx-SPI-MOSI,C1091
$5N19,R152
$5N19,U124
FMC_BA0,U3G7
FMC_BA0,RN541
CONN-IO-PU-3,U1P3
CONN-IO-PU-3,D37A
CONN-IO-PU-3,TP981
$6N12488,C1842
$6N12488,R1381
$6N4247,U1721
$6N4247,RN912
BLE-DBG-TDO,U1341
BLE-DBG-TDO,P1046
$1N3002,C831
$1N3002,U1F13
$6N1661,U1757
$6N1661,C1021
$6N1661,R1401
$1N2727,U1C1
$1N2727,R691
$5N3195,DL4A
$5N3195,R2052
CONN-IO-PU-6,U1A1
CONN-IO-PU-6,D40A
CONN-IO-PU-6,TP1441
RF-TxRx-SPI-CLK,R421
RF-TxRx-SPI-CLK,R111
RF-TxRx-SPI-CLK,C32
$13N105,C2991
$13N105,R2611
$13N105,R2572
$13N105,U385
$6N1091,L211
$6N1091,C1871
$6N1091,R1742
$8N8567,TP631
