column_one,column_two
"""$8N1214""",L512
"""$8N1233""",L511
"""$8N1233""",U216
"""$8N1324""",U213
"""$8N1324""",C2032
"""$8N142""",C2062
"""$8N142""",U325
"""$8N1502""",R1362
"""$8N1502""",C2031
"""$8N1555""",R1171
"""$8N1555""",R1682
"""$8N1555""",R1361
"""$8N1612""",FL2B
"""$8N1612""",R1681
"""$8N1951""",L522
"""$8N1951""",FL2E
"""$8N3867""",R1071
"""$8N3867""",L492
"""$8N3867""",R1701
"""$8N3870""",R1691
"""$8N3870""",R1081
"""$8N3870""",L502
"""$8N3894""",TP691
"""$8N3894""",U204
"""$8N3894""",C1631
"""$8N3894""",L491
"""$8N3937""",TP681
"""$8N3937""",U206
"""$8N3937""",C1641
"""$8N3937""",L501
"""$8N5800""",U316
"""$8N5800""",E21
"""$8N5802""",E11
"""$8N5802""",U314
"""$8N5903""",R2161
"""$8N5903""",U311
"""$8N61""",C2061
"""$8N61""",FL1E
"""$8N6527""",U226
"""$8N6527""",L521
"""$8N6534""",U223
"""$8N6534""",C2052
"""$8N8403""",R1061
"""$8N8403""",L452
"""$8N8565""",R1051
"""$8N8565""",L472
"""$8N8567""",U222
"""$8N8567""",R1052
"""$8N8567""",TP631
"""$8N8567""",C2752
"""$8N893""",C2831
"""$8N893""",U3212
"""3.3V_RF_FIL""",L481
"""3.3V_RF_FIL""",U224
"""3.3V_RF_FIL""",L461
"""3.3V_RF_FIL""",C2631
"""3.3V_RF_FIL""",C1591
"""3.3V_RF_FIL""",U214
"""3.3V_RF_FIL""",C1611
"""3.3V_RF_FIL""",C1711
"""3V3-LP""",D42A
"""3V3-LP""",U381
"""3V3-LP""",C3001
"""3V3-LP""",TP871
"""ACCL-I2C-SA0""",TP131
"""ACCL-I2C-SA0""",U117
"""ANT""",C1932
"""ANT""",C3011
"""ANT""",R2671
"""FMC_A0""",RN521
"""FMC_A0_9225""",U3H7
"""FMC_A1""",RN522
"""FMC_A10""",RN531
"""FMC_A10_9225""",U3H9
"""FMC_A11""",RN532
"""FMC_A11_9225""",U3G2
"""FMC_A1_9225""",U3H8
"""FMC_A2""",RN523
"""FMC_A2_9225""",U3J8
"""FMC_A3""",RN524
"""FMC_A3_9225""",U3J7
"""FMC_A4""",RN525
"""FMC_A4_9225""",U3J3
"""FMC_A5""",RN526
"""FMC_A5_9225""",U3J2
"""FMC_A6""",RN527
"""FMC_A6_9225""",U3H3
"""FMC_A7""",TP1301
"""FMC_A7""",RN528
"""FMC_A7_9225""",U3H2
"""FMC_A8""",RN533
"""FMC_A8_9225""",U3H1
"""FMC_A9""",RN534
"""FMC_A9_9225""",U3G3
"""FMC_D0""",RN505
"""FMC_D0""",TP1161
"""FMC_D0_9225""",U3A8
"""FMC_D1""",RN506
"""FMC_D10""",RN512
"""FMC_D10_9225""",U3D1
"""FMC_D11""",TP1281
"""FMC_D11""",RN515
"""FMC_D11_9225""",U3C2
"""FMC_D12""",RN513
"""FMC_D12_9225""",U3C1
"""FMC_D13""",RN518
"""FMC_D13_9225""",U3B2
"""FMC_D14""",RN517
"""FMC_D14_9225""",U3B1
"""FMC_D15""",RN516
"""FMC_D15_9225""",U3A2
"""FMC_D1_9225""",U3B9
"""FMC_D2""",RN508
"""FMC_D2_9225""",U3B8
"""FMC_D3""",RN507
"""FMC_D3""",TP1611
"""FMC_D3_9225""",U3C9
"""FMC_D4""",RN501
"""FMC_D4_9225""",U3C8
"""FMC_D5""",RN502
"""FMC_D5_9225""",U3D9
"""FMC_D6""",RN504
"""FMC_D6_9225""",U3D8
"""FMC_D7""",RN503
"""FMC_D7""",TP1241
"""FMC_D7_9225""",U3E9
"""FMC_D8""",RN511
"""FMC_D8_9225""",U3E1
"""FMC_D9""",RN514
"""FMC_D9_9225""",U3D2
"""GND""",C222
"""GND""",C352
"""GND""",C282
"""GND""",R262
"""GND""",C762
"""GND""",C232
"""GND""",C832
"""GND""",C292
"""GND""",C12
"""GND""",C2562
"""GND""",R272
"""GND""",C752
"""GND""",C242
"""GND""",C842
"""GND""",C302
"""GND""",C22
"""GND""",C201
"""GND""",C252
"""GND""",C312
"""GND""",U41
"""GND""",C262
"""GND""",C322
"""GND""",C212
"""GND""",L42
"""GND""",C272
"""GND""",C332
"""GND""",U1N1
"""GND""",U1D5
"""GND""",U1D7
"""GND""",U1D8
"""GND""",U1D9
"""GND""",U1F2
"""GND""",U1F6
"""GND""",U1F7
"""GND""",U1F8
"""GND""",U1F9
"""GND""",U1F10
"""GND""",U1F12
"""GND""",U1G2
"""GND""",U1G6
"""GND""",U1G7
"""GND""",U1G8
"""GND""",U1G9
"""GND""",U1G10
"""GND""",U1G12
"""GND""",U1H6
"""GND""",U1H7
"""GND""",U1H8
"""GND""",U1H9
"""GND""",U1H10
"""GND""",U1H12
"""GND""",U1J6
"""GND""",U1J7
"""GND""",U1J8
"""GND""",U1J9
"""GND""",U1J10
"""GND""",U1K6
"""GND""",U1K7
"""GND""",U1K8
"""GND""",U1K9
"""GND""",U1K10
"""GND""",U1L4
"""GND""",U1M8
"""GND""",U1M9
"""GND""",R2292
"""GND""",R2282
"""GND""",C412
"""GND""",C2462
"""GND""",C422
"""GND""",C2472
"""GND""",C372
"""GND""",P1023
"""GND""",U3A1
"""GND""",U3E3
"""GND""",U3J1
"""GND""",U3A3
"""GND""",U3B7
"""GND""",U3C3
"""GND""",U3D7
"""GND""",C432
"""GND""",U83
"""GND""",C382
"""GND""",R2262
"""GND""",P73
"""GND""",P1025
"""GND""",C442
"""GND""",C2822
"""GND""",C391
"""GND""",C452
"""GND""",R562
"""GND""",U24
"""GND""",U29
"""GND""",C402
"""GND""",C462
"""GND""",C902
"""GND""",U1210
"""GND""",U1212
"""GND""",U1213
"""GND""",U1224
"""GND""",C731
"""GND""",C862
"""GND""",DL4C
"""GND""",C672
"""GND""",P1045
"""GND""",C692
"""GND""",C822
"""GND""",C642
"""GND""",R2062
"""GND""",C682
"""GND""",C701
"""GND""",C872
"""GND""",C662
"""GND""",U1415
"""GND""",U132
"""GND""",U133
"""GND""",U136
"""GND""",U1325
"""GND""",U1327
"""GND""",U1329
"""GND""",U1332
"""GND""",U1347
"""GND""",U1350
"""GND""",U1351
"""GND""",U1352
"""GND""",U1353
"""GND""",U1354
"""GND""",U1355
"""GND""",U1356
"""GND""",P1043
"""GND""",C631
"""GND""",U115
"""GND""",U1110
"""GND""",U1112
"""GND""",U1113
"""GND""",U1115
"""GND""",U1116
"""GND""",C1532
"""GND""",C1572
"""GND""",R2372
"""GND""",C1052
"""GND""",C1271
"""GND""",C2982
"""GND""",R992
"""GND""",C992
"""GND""",U353
"""GND""",C921
"""GND""",L201
"""GND""",R1202
"""GND""",C1242
"""GND""",C951
"""GND""",C2732
"""GND""",C1672
"""GND""",C1872
"""GND""",C2642
"""GND""",C1082
"""GND""",R1391
"""GND""",G21
"""GND""",G22
"""GND""",C1332
"""GND""",C1042
"""GND""",R961
"""GND""",C1262
"""GND""",C1002
"""GND""",C931
"""GND""",C1762
"""GND""",R1211
"""GND""",R1242
"""GND""",U343
"""GND""",C1882
"""GND""",R1422
"""GND""",C2652
"""GND""",C1092
"""GND""",C1032
"""GND""",R1002
"""GND""",C1752
"""GND""",U164
"""GND""",C2692
"""GND""",C2662
"""GND""",C1251
"""GND""",L131
"""GND""",R1721
"""GND""",C2742
"""GND""",R1372
"""GND""",R1182
"""GND""",C1851
"""GND""",C1522
"""GND""",U1753
"""GND""",U1755
"""GND""",U1788
"""GND""",U1793
"""GND""",C1692
"""GND""",U332
"""GND""",U333
"""GND""",U336
"""GND""",R2462
"""GND""",C1022
"""GND""",L141
"""GND""",R1382
"""GND""",L191
"""GND""",C941
"""GND""",R1191
"""GND""",C31
"""GND""",C1662
"""GND""",R1262
"""GND""",C1792
"""GND""",C1502
"""GND""",C1902
"""GND""",U182
"""GND""",C1442
"""GND""",R1532
"""GND""",C1352
"""GND""",C1492
"""GND""",C1302
"""GND""",R1572
"""GND""",U192
"""GND""",C1582
"""GND""",C1892
"""GND""",C1452
"""GND""",C1362
"""GND""",U17117
"""GND""",C1402
"""GND""",C1312
"""GND""",C1912
"""GND""",R1562
"""GND""",C1432
"""GND""",C1102
"""GND""",C1822
"""GND""",C1772
"""GND""",C1462
"""GND""",C1372
"""GND""",C1412
"""GND""",C1922
"""GND""",C1802
"""GND""",R1512
"""GND""",C1702
"""GND""",C1472
"""GND""",C1382
"""GND""",C1422
"""GND""",C1862
"""GND""",C1112
"""GND""",C1812
"""GND""",C1782
"""GND""",C1482
"""GND""",C1392
"""GND""",FL32
"""GND""",FL34
"""GND""",R1692
"""GND""",C2622
"""GND""",C2932
"""GND""",C2611
"""GND""",U221
"""GND""",U225
"""GND""",C3012
"""GND""",U202
"""GND""",FL1A
"""GND""",FL1C
"""GND""",FL1D
"""GND""",FL1F
"""GND""",C1632
"""GND""",C2632
"""GND""",C2942
"""GND""",C2042
"""GND""",C3022
"""GND""",C1592
"""GND""",C2812
"""GND""",C1642
"""GND""",TP751
"""GND""",C2772
"""GND""",U211
"""GND""",U215
"""GND""",C2722
"""GND""",C2952
"""GND""",TP761
"""GND""",FL2A
"""GND""",FL2C
"""GND""",FL2D
"""GND""",FL2F
"""GND""",C2842
"""GND""",C2072
"""GND""",C1612
"""GND""",TP771
"""GND""",C2712
"""GND""",TP651
"""GND""",TP781
"""GND""",C1742
"""GND""",C2962
"""GND""",U312
"""GND""",U315
"""GND""",J12
"""GND""",J13
"""GND""",R1702
"""GND""",C2702
"""GND""",C1712
"""GND""",R2272
"""GND""",C2922
"""GND""",U322
"""GND""",U323
"""GND""",U326
"""GND""",U328
"""GND""",U329
"""GND""",U3210
"""GND""",U3213
"""GND""",U3214
"""GND""",U3215
"""GND""",C2751
"""GND""",R1432
"""GND""",C2972
"""GND""",TP641
"""GND""",C2762
"""GND""",R2122
"""GND""",C2912
"""GND""",D31A
"""GND""",C2862
"""GND""",R902
"""GND""",D32A
"""GND""",C2872
"""GND""",D33A
"""GND""",C2882
"""GND""",D28A
"""GND""",C2892
"""GND""",D29A
"""GND""",Q82
"""GND""",C2902
"""GND""",D30A
"""GND""",C2852
"""GND""",Q72
"""GND""",C2321
"""GND""",R2412
